Title: Population Distribution by Race/Ethnicity | The Henry J. Kaiser Family Foundation,,,,,,,,
Timeframe: 2016,,,,,,,,
Location,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Two Or More Races,Total
United States,195453000,39256900,57670000,18364500,2390300,1043200,6194100,320372000
Alabama,3204100,1304100,193500,N/A,N/A,N/A,59200,4834100
Alaska,425300,19900,47200,35300,118000,15900,49200,710800
Arizona,3728700,305300,2376900,223300,138000,N/A,84500,6890200
Arkansas,2134700,455100,206900,N/A,24500,N/A,64700,2945300
California,14848900,2115300,15125100,5787500,210700,248000,852600,39188300
Colorado,3881000,210000,1030100,215900,N/A,N/A,109400,5509200
Connecticut,2408200,348500,582400,166800,N/A,<10000,N/A,3570300
Delaware,588200,196600,108200,32600,N/A,<10000,20800,948200
District of Columbia,257600,314000,70300,30900,N/A,N/A,11800,685800
Florida,11309600,3074900,5326600,559000,82400,N/A,171800,20545300
Georgia,5357400,3245300,1008900,440100,N/A,N/A,157200,10280800
Hawaii,266400,21700,135300,537300,N/A,237700,191200,1392400
Idaho,1378700,13200,223100,30400,N/A,N/A,19700,1679000
Illinois,7744100,1800200,2162600,739100,N/A,N/A,141300,12607400
Indiana,5285200,595400,377000,110200,N/A,N/A,117400,6503200
Iowa,2670400,103000,188500,73800,N/A,N/A,56300,3106200
Kansas,2109400,170600,389300,66400,N/A,N/A,87700,2865000
Kentucky,3688500,339900,215800,N/A,N/A,N/A,N/A,4388200
Louisiana,2685400,1476500,238900,78400,N/A,N/A,72100,4578500
Maine,1210600,15100,31900,N/A,N/A,N/A,40500,1321600
Maryland,3137600,1698600,630800,297000,N/A,N/A,132200,5932800
Massachusetts,4867300,463600,839600,507400,N/A,N/A,92200,6779600
Michigan,7462600,1343600,518800,341100,N/A,N/A,195000,9893200
Minnesota,4350200,348600,344300,208100,N/A,N/A,126900,5436600
Mississippi,1700400,1092100,81600,N/A,N/A,N/A,42600,2948100
Missouri,4653200,650800,245200,145800,N/A,N/A,182900,5888700
Montana,919400,6800,31600,5700,N/A,N/A,27900,1035500
Nebraska,1465000,73700,251000,47300,N/A,<10000,28300,1876100
Nevada,1540100,252300,788400,225300,N/A,N/A,82800,2943200
New Hampshire,1213200,17800,34900,27100,N/A,N/A,22800,1318100
New Jersey,5129100,1135100,1571600,953700,N/A,N/A,N/A,8851500
New Mexico,754200,42600,934200,N/A,N/A,N/A,20800,2045000
New York,11025000,2733800,3542800,1847500,65600,N/A,238200,19482300
North Carolina,6191800,2154400,1051100,280400,N/A,N/A,203900,10068300
North Dakota,634900,22600,26400,N/A,32000,N/A,18800,749500
Ohio,8983200,1373700,504300,241900,N/A,N/A,323500,11468700
Oklahoma,2502300,285700,453100,N/A,318100,N/A,237600,3921100
Oregon,3082400,79800,586700,149400,N/A,N/A,160100,4130200
Pennsylvania,9566100,1354700,856500,504200,N/A,N/A,245000,12557900
Rhode Island,754500,62900,169800,39500,N/A,N/A,N/A,1054300
South Carolina,3194900,1285000,230400,112900,N/A,N/A,N/A,4908400
South Dakota,698500,17900,40600,N/A,N/A,<10000,16800,855400
Tennessee,4872800,1113900,395500,142500,N/A,N/A,129100,6674100
Texas,11939700,3346600,10594200,1318300,88500,N/A,362100,27677200
Utah,2443400,34700,446000,54100,N/A,N/A,60900,3079700
Vermont,583600,7300,6000,N/A,N/A,N/A,14500,622500
Virginia,5016100,1500400,880200,532300,N/A,N/A,222300,8175000
Washington,4801500,245200,1018600,728800,N/A,N/A,283700,7297300
West Virginia,1683500,62400,22000,N/A,N/A,<10000,N/A,1814100
Wisconsin,4614900,321700,481300,174300,N/A,<10000,121300,5766100
Wyoming,489400,4000,53900,N/A,N/A,N/A,11300,571700
,,,,,,,,
Notes,,,,,,,,
Population and demographic data on are based on analysis of the Census Bureau’s March Current Population Survey (CPS; Annual Social and Economic Supplement) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the non-institutionalized population. ,,,,,,,,
,,,,,,,,
Data may not sum to totals due to rounding. Population numbers are rounded to the nearest 100.,,,,,,,,
,,,,,,,,
Sources,,,,,,,,
"Kaiser Family Foundation estimates based on the Census Bureau's March Current Population Survey (CPS: Annual Social and Economic Supplements), 2017.",,,,,,,,
,,,,,,,,
Definitions,,,,,,,,
*N/A*: Estimates with relative standard errors greater than 30% are not provided.,,,,,,,,
,,,,,,,,
Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic.,,,,,,,,
