,Location,kids_0_18,adults_19_25,adults_26_34,adults_35_54,adults_55_64,adults_over_65,white,black,hispanic,asian,amer_ind_ak,nat_haw_pac_is,two_or_more_r,median_hhi,craft_barr_produced,craft_gal_per_adult,b_per_capita
0,AK,0.2834833989870568,0.09524479459763646,0.15180078784468204,0.23283624085537422,0.11873944850872256,0.11803601575689364,0.5983398987056837,0.027996623522791222,0.06640405177265053,0.049662352279122114,0.16601012943162632,0.02236916150815982,0.06921778277996624,75723.0,207369.0,12.5,7.068525427056744
1,AL,0.238865559256118,0.09313005523261828,0.11154092799073251,0.2582693779607373,0.140750087917089,0.15742330526881942,0.6730030036337667,0.27391879686613874,0.04064357579449264,0.0,0.0,0.0,0.012434623705601881,47221.0,61042.0,0.5,1.0055987389248247
2,AR,0.2517570366346382,0.09156961939361016,0.11801853800971039,0.25236817981190374,0.12260211183920144,0.16368451431093606,0.7396999203021588,0.15769777192556914,0.07169340586991926,0.0,0.008489552652552064,0.0,0.022419349249800755,45907.0,35846.0,0.5,1.542789726835466
3,AZ,0.24896229427302546,0.10191286174566776,0.10819714957475836,0.25550782270471106,0.12387158573045776,0.16156279933819048,0.5438038706666473,0.04452579229075211,0.34665363804745725,0.03256668659850949,0.02012629982353027,0.0,0.01232371257310368,57100.0,147255.0,0.9,2.1256860168508926
4,CA,0.24695125841131155,0.09837119752579214,0.12850519160055424,0.2648188362342842,0.1233633507960284,0.13799016543202947,0.3789134966992531,0.05397812090915354,0.3859615546556225,0.1476851391111077,0.005376632191915403,0.006328451749383104,0.021756604683564655,66637.0,3295221.0,3.7,3.1412335186898313
5,CO,0.23921803528642996,0.09115661076018297,0.14034705583387788,0.2630871995934074,0.12036230305670514,0.14582879546939664,0.7125807873090482,0.03855757931844889,0.18913410693301996,0.039640863689776734,0.0,0.0,0.02008666274970623,70566.0,1429130.0,11.1,9.209553121943072
6,CT,0.22516315155589167,0.09948743803041761,0.11853345657227685,0.25625297594039714,0.1449458028737081,0.15561717502730862,0.6868992270173137,0.09940386206109701,0.16611996919478594,0.047576941726803386,0.0,0.0,0.0,75923.0,129825.0,1.5,2.7472527472527473
7,DC,0.18649752114319043,0.11621463983668708,0.22003499562554682,0.24613589967920677,0.09200933216681248,0.13925342665500146,0.37627811860940696,0.4586619924043237,0.10268770084721004,0.04513584574934268,0.0,0.0,0.017236342389716622,70982.0,30201.0,1.8,2.3301666965405987
8,DE,0.22653448639527526,0.08879983125922801,0.12054418898966462,0.2529002320185615,0.14353511917317022,0.16779160514659355,0.621513102282333,0.2077345731191885,0.11432797971259509,0.03444632290786137,0.0,0.0,0.02197802197802198,58046.0,249733.0,11.1,3.408781019907281
9,FL,0.21658481501852006,0.0826807104301227,0.12102037935683586,0.25590767718164253,0.13236117262828967,0.19144524538458918,0.551034627246727,0.1498175333628918,0.25952651247545594,0.02723600804899558,0.004014753243715985,0.0,0.00837056562221367,51176.0,1255112.0,2.5,1.640209996582896
