,craft_barr_produced,craft_gal_per_adult,state
0,"61,042",0.5,Alabama
1,"207,369",12.5,Alaska
2,"147,255",0.9,Arizona
3,"35,846",0.5,Arkansas
4,"3,295,221",3.7,California
5,"1,429,130",11.1,Colorado
6,"129,825",1.5,Connecticut
7,"249,733",11.1,Delaware
8,"30,201",1.8,DC
9,"1,255,112",2.5,Florida
10,"392,002",1.7,Georgia
11,"48,638",1.4,Hawaii
12,"71,334",1.9,Idaho
13,"337,582",1.1,Illinois
14,"225,801",1.5,Indiana
15,"61,232",0.9,Iowa
16,"51,542",0.8,Kansas
17,"102,751",1,Kentucky
18,"216,715",2,Louisiana
19,"316,953",9.7,Maine
20,"282,593",2,Maryland
21,"611,341",3.8,Massachusetts
22,"846,029",3.7,Michigan
23,"609,415",4.8,Minnesota
24,"28,876",0.4,Mississippi
25,"368,857",2.6,Missouri
26,"179,632",7.3,Montana
27,"46,805",1.1,Nebraska
28,"52,828",0.8,Nevada
29,"100,164",3.1,New Hampshire
30,"111,416",0.5,New Jersey
31,"111,237",2.3,New Mexico
32,"1,000,785",2.1,New York
33,"1,269,402",5.4,North Carolina
34,"11,353",0.7,North Dakota
35,"1,373,041",5.1,Ohio
36,"47,847",0.5,Oklahoma
37,"1,149,150",11.8,Oregon
38,"3,905,620",12.9,Pennsylvania
39,"27,075",1.1,Rhode Island
40,"101,194",0.9,South Carolina
41,"10,029",0.5,South Dakota
42,"250,247",1.6,Tennessee
43,"1,165,579",1.9,Texas
44,"199,220",3.2,Utah
45,"295,717",19.8,Vermont
46,"257,645",1.3,Virginia
47,"467,270",2.7,Washington
48,"14,682",0.3,West Virginia
49,"974,538",7.3,Wisconsin
50,"31,357",2.3,Wyoming
